Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Björn,Eriksson,Nyvägen 9,Kalmar,30736,Sverige,SE,19820930-2254,+46,0600-131 58,1982-09-30,True
Melissa,Johnson,Ian Mill 2018,North Jacqueline,35925,Danmark,DK,19490317-8017,+47,334.641.7285x2826,1949-03-17,True
Arne,Solheim,Eriksenmoen 8,Olavfjord,7852,Norge,NO,19840718-2309,+47,99307002,1984-07-18,True
Kayla,Nichols,David Green 82335,Brianberg,15806,Danmark,DK,19650513-3973,+45,001-958-376-7007x100,1965-05-13,True
Elisabet,Pettersson,Bäckgatan 9,Skövde,68831,Sverige,SE,19430726-7820,+46,0171-11 10 00,1943-07-26,True
Tiffany,Frazier,Robertson Course 11660,West Robertton,64362,Danmark,DK,19951203-7684,+45,+1-386-491-5819x131,1995-12-03,True
Aaron,Robinson,Aaron Ports 55476,East Teresa,62252,Danmark,DK,19710909-4064,+45,(851)674-9329x2485,1971-09-09,True
Johanna,Forsberg,Skogsgatan 28,Uppsala,34326,Sverige,SE,19570804-6333,+46,08-707 83 12,1957-08-04,True
Linda,Lewis,Vincent Summit 6984,Mccallfurt,76051,Danmark,DK,19950818-5192,+45,912-523-6175x5514,1995-08-18,True
Ulla,Magnusson,Backgränd 580,Växjö,63910,Sverige,SE,19981216-2057,+46,041-14 31 85,1998-12-16,True
Laura,Nguyen,Vega Alley 55162,Joshuaville,89175,Danmark,DK,19401231-8077,+45,(728)910-2989x062,1940-12-31,True
Kristina,Hermansson,Backvägen 0,Kalmar,30830,Sverige,SE,19540624-5183,+46,0481-85 45 07,1954-06-24,True
Tobias,Jakobsen,Johansenløkka 4,Arildbø,4425,Norge,NO,19511008-3274,+47,24 19 46 61,1951-10-08,True
Robert,Rodriguez,Thomas Locks 151,Buchananchester,98034,Danmark,DK,19431129-0327,+45,001-623-674-4509x559,1943-11-29,True
Sami,Lappalainen,Elimäentie 4,Parkano,20224,Finland,FI,19761208-7497,+358,+358 642502721,1976-12-08,True
Gustav,Bergman,Skogsvägen 811,Södertälje,57847,Sverige,SE,19570721-1949,+46,08-182 776 94,1957-07-21,True
Karin,Johannesson,Björkstigen 16,Lidingö,34219,Sverige,SE,19601226-2392,+46,08-13 18 40,1960-12-26,True
Ulla,Mårtensson,Skolvägen 3,Stockholm,56920,Sverige,SE,19800618-1308,+46,0257-27 65 37,1980-06-18,True
Cecilia,Olofsson,Backvägen 3,Landskrona,32001,Sverige,SE,19570714-5641,+46,08-002 61 69,1957-07-14,True
Niclas,Persson,Strandtorget 36,Borås,73343,Sverige,SE,19940715-6213,+46,+46 (0)14 63 81 26,1994-07-15,True
Carl,Karlsson,Storgatan 35,Luleå,19678,Sverige,SE,19940804-6060,+46,083-64 31 79,1994-08-04,True
Kristina,Nilsson,Skolvägen 87,Trollhättan,86120,Sverige,SE,19730524-2472,+46,0950-702 98,1973-05-24,True
Aud,Moen,Thomassenfaret 88,Kjellberg,8956,Norge,NO,20000907-3909,+47,486 89 701,2000-09-07,True
Tom,Hanssen,Jenssenløkka 85,Synnøvevåg,5196,Norge,NO,19790222-7237,+47,89 59 64 98,1979-02-22,True
Helen,Curtis,Curtis Run 3455,South Sarahshire,58078,Danmark,DK,19430726-7028,+45,843.579.4796x24516,1943-07-26,True
Olof,Nilsson,Aspstigen 3,Örnsköldsvik,74211,Sverige,SE,19510726-3144,+46,+46 (0)8 931 856 41,1951-07-26,True
Sven,Ottosson,Nystigen 7,Lidingö,11854,Sverige,SE,19750915-6323,+46,+46 (0)74 11 91 12,1975-09-15,True
Axel,Lindahl,Skogsgatan 750,Nyköping,40528,Sverige,SE,19900217-7868,+46,08-15 61 24,1990-02-17,True
Marie,Andersson,Skolvägen 59,Sandviken,85915,Sverige,SE,19530809-7236,+46,015-054 52 95,1953-08-09,True
Leif,Näslund,Industrivägen 5,Linköping,41737,Sverige,SE,19560119-0878,+46,08-646 51 17,1956-01-19,True
Anna,Johansson,Bäckvägen 269,Luleå,39551,Sverige,SE,19750824-2954,+46,+46 (0)86 13 55 51,1975-08-24,True
Jonathan,Frost,Shea Curve 36676,Port Codyport,03016,Danmark,DK,19460810-6315,+45,(433)546-7551,1946-08-10,True
Vilhelm,Jakobsson,Skogsvägen 8,Lidingö,94145,Sverige,SE,19520929-5450,+46,+46 (0)57 13 97 26,1952-09-29,True
Elmeri,Eskelinen,Yrjö-Koskisen polku 5,Valtimo,81134,Finland,FI,19850716-5663,+358,071 382 8711,1985-07-16,True
Bengt,Nilsson,Ringtorget 830,Alingsås,94549,Sverige,SE,19730125-2863,+46,0697-36 96 82,1973-01-25,True
Stig,Nyström,Industrivägen 154,Stockholm,23504,Sverige,SE,19710729-3451,+46,08-047 40 06,1971-07-29,True
Mette,Johannessen,Kristiansenfaret 3B,Espenvik,6181,Norge,NO,19650830-2060,+47,62289329,1965-08-30,True
Anna,Andersson,Industrivägen 1,Ängelholm,99695,Sverige,SE,19400513-7371,+46,+46 (0)108 026 66,1940-05-13,True
Rolf,Eriksson,Parkgatan 054,Helsingborg,87396,Sverige,SE,19580325-4236,+46,+46 (0)459 129 56,1958-03-25,True
Juhani,Miettinen,Lautamiehenkuja 02,Lumparland,49840,Finland,FI,19700108-2617,+358,093 817 9548,1970-01-08,True
Karl,Ruud,Hauglandtunet 65,Jørgensen,3212,Norge,NO,19411025-3232,+47,420 15 632,1941-10-25,True
Siri,Dahl,Lundefaret 11,Henrikeid,2895,Norge,NO,19610114-8473,+47,42063252,1961-01-14,True
Louis,Peters,Steven Stravenue 69804,Sanfordshire,70120,Danmark,DK,19740502-5798,+45,001-453-505-3552,1974-05-02,True
Solveig,Karlsen,Danielsenskrenten 681,Sivstrøm,2759,Norge,NO,19990408-4453,+47,+4714416543,1999-04-08,True
Ivar,Edvardsen,Fredriksenspranget 681,Hansen,1433,Norge,NO,19561013-8417,+47,85000060,1956-10-13,True
Unni,Jenssen,Bøelyngen 1B,Lisesjøen,2829,Norge,NO,19570531-0110,+47,59 49 21 97,1957-05-31,True
Irene,Mäki,Franzéninpolku 22,Hailuoto,05219,Finland,FI,19800721-5726,+358,+358730271328,1980-07-21,True
Carl,Ohlsson,Fabriksstigen 48,Skellefteå,94646,Sverige,SE,19590129-6289,+46,0300-080 55,1959-01-29,True
Mary,Faulkner,Smith Mill 495,North Kevinchester,52321,Danmark,DK,19550523-7273,+45,4502368764,1955-05-23,True
Ingrid,Lundin,Genvägen 6,Halmstad,42489,Sverige,SE,19550630-3705,+46,000-45 56 84,1955-06-30,True
Kerstin,Lindgren,Kvarngatan 0,Luleå,10070,Sverige,SE,19420329-6325,+46,0865-73 72 98,1942-03-29,True
Erik,Lindgren,Stationsstigen 130,Varberg,68594,Sverige,SE,19840120-7586,+46,08-757 52 48,1984-01-20,True
Antonio,Davis,Walter Knolls 4747,Port Megan,06143,Danmark,DK,19561211-0335,+45,001-739-326-8441x578,1956-12-11,True
Alejandro,Perez,Roberts Parkway 6985,Andrewview,95714,Danmark,DK,19400718-0910,+45,001-629-949-9708x99449,1940-07-18,True
Roger,Larsen,Birkelandvika 67,Larsfjord,2491,Norge,NO,19530405-4079,+47,52 04 68 92,1953-04-05,True
Oskar,Hansson,Parkgatan 052,Borlänge,71190,Sverige,SE,19641126-2138,+46,08-169 448 17,1964-11-26,True
Arne,Håkansson,Industrigränd 5,Gävle,60564,Sverige,SE,19440418-3570,+46,0354-001 99,1944-04-18,True
Brandi,Jackson,Stacey Trace 349,North Melvinport,60676,Danmark,DK,19400423-3101,+45,728-218-1069x869,1940-04-23,True
Amanda,Boyd,Smith Forest 6751,West Heather,63319,Danmark,DK,19560329-8829,+45,+1-953-232-1429x320,1956-03-29,True
Aino,Liimatainen,Eerik Pyhän bulevardi 7,Hollola,87957,Finland,FI,19450515-667S,+358,+358 72 1036992,1945-05-15,True
Christine,Andersson,Backgatan 64,Sandviken,58572,Sverige,SE,19960229-6375,+46,+46 (0)00 24 98 49,1996-02-29,True
Per,Petersson,Fabriksgränd 23,Jönköping,86483,Sverige,SE,19920311-8230,+46,08-197 466 24,1992-03-11,True
Viktoria,Karlsson,Stationstorget 6,Mölndal,73478,Sverige,SE,19961223-7771,+46,0359-42 25 51,1996-12-23,True
Anette,Holmberg,Nyvägen 942,Lidingö,58522,Sverige,SE,19991103-5100,+46,0965-16 94 01,1999-11-03,True
Nils,Fredriksen,Eidebråten 076,Andresen,7935,Norge,NO,19781121-1715,+47,40978776,1978-11-21,True
Lauren,Romero,Albert Cove 613,Lake Wendymouth,62297,Danmark,DK,19750626-9288,+45,+1-745-397-1693,1975-06-26,True
Gunnar,Mattsson,Bäcktorget 5,Nyköping,15420,Sverige,SE,19720509-2998,+46,+46 (0)8 036 131 35,1972-05-09,True
Joshua,Hall,Danielle Tunnel 052,East Lindahaven,74920,Danmark,DK,19940212-0714,+45,001-718-908-7936,1994-02-12,True
Teemu,Laaksonen,Runokylänkuja 00,Hyrynsalmi,39231,Finland,FI,19651021-5729,+358,0549720011,1965-10-21,True
Petter,Hauge,Eideplassen 7,Moen,3683,Norge,NO,19650804-7557,+47,59 02 26 57,1965-08-04,True
Gunhild,Johansson,Aspstigen 763,Karlstad,92885,Sverige,SE,19930113-9522,+46,08-644 06 82,1993-01-13,True
Marie,Berg,Myhretunet 8G,Bakken,5705,Norge,NO,19730526-8919,+47,410 88 979,1973-05-26,True
Sandra,Nyman,Bäckgränd 9,Växjö,81573,Sverige,SE,19760330-5260,+46,094-13 17 63,1976-03-30,True
Antero,Virtanen,Kilpolantie 111,Naantali,39771,Finland,FI,19610825-155U,+358,+358337605955,1961-08-25,True
Sigrid,Solberg,Aunegjerdet 5A,Kristinesand,5122,Norge,NO,19780716-5602,+47,40911246,1978-07-16,True
Ingela,Berggren,Nyvägen 12,Linköping,85533,Sverige,SE,19731225-6453,+46,08-959 861 27,1973-12-25,True
Leif,Nielsen,Andresenløkka 6B,Hanshamn,6784,Norge,NO,19770628-7167,+47,+47 42 06 72 86,1977-06-28,True
Kåre,Johnsen,Dahllyngen 8,Lien,2374,Finland,NO,19850210-6238,+47,927 16 468,1985-02-10,True
Krister,Jonasson,Parkgränd 00,Umeå,26547,Sverige,SE,19860531-3983,+46,062-261 43 13,1986-05-31,True
Karl,Magnusson,Backgatan 6,Östersund,72124,Sverige,SE,19670724-4401,+46,08-632 12 22,1967-07-24,True
Ingrid,Hedberg,Gengränd 056,Kristianstad,52348,Sverige,SE,19510604-3183,+46,+46 (0)8 628 362 82,1951-06-04,True
Joakim,Nilsson,Järnvägstorget 944,Uppsala,87137,Sverige,SE,19970429-1787,+46,+46 (0)8 550 697 02,1997-04-29,True
Ingrid,Bergman,Strandvägen 607,Borås,59042,Sverige,SE,19850107-2392,+46,08-65 69 30,1985-01-07,True
Ingrid,Jansson,Grangatan 44,Kalmar,85529,Sverige,SE,19781115-3907,+46,0135-51 54 64,1978-11-15,True
Carl,Hedman,Trädgårdsstigen 495,Växjö,99502,Sverige,SE,19400503-6414,+46,08-64 84 45,1940-05-03,True
Mona,Eriksen,Christensenstubben 11,Gulbrandsen,8661,Norge,NO,19930509-0023,+47,05 74 58 88,1993-05-09,True
Kimberly,Myers,Johnson Forest 64253,West Chelsea,93582,Danmark,DK,19871005-3277,+45,525.583.7874,1987-10-05,True
Inga,Eriksson,Björkgatan 55,Kalmar,21236,Sverige,SE,19970425-9335,+46,+46 (0)849 925 22,1997-04-25,True
Megan,Benitez,Andrade Fall 11110,Timothyburgh,79941,Danmark,DK,19631128-7410,+45,+1-781-687-0285x648,1963-11-28,True
Gunilla,Åström,Industristigen 24,Karlstad,96806,Sverige,SE,19991002-1680,+46,+46 (0)726 590 45,1999-10-02,True
Courtney,Abbott,Garcia Fort 27562,Milesmouth,52034,Danmark,DK,19531018-8832,+45,001-946-570-2739x54387,1953-10-18,True
Harry,Lindqvist,Aspgatan 0,Linköping,69886,Sverige,SE,19540418-2745,+46,093-947 93 88,1954-04-18,True
Vilde,Haug,Eidelunden 6,Pervåg,5019,Norge,NO,19730324-9173,+47,441 08 152,1973-03-24,True
Tuula,Holmberg,Dosentinkuja 2,Suonenjoki,92691,Finland,FI,19670731-514Y,+358,+358230011773,1967-07-31,True
Peter,Davidsson,Nystigen 45,Jönköping,59895,Sverige,SE,19670430-7740,+46,0517-30 68 96,1967-04-30,True
Ingela,Bergqvist,Skogsgatan 5,Lidköping,56133,Sverige,SE,19450120-7924,+46,+46 (0)62 65 47 29,1945-01-20,True
Ernst,Andersson,Stationsgatan 76,Lund,77364,Sverige,SE,19900906-5612,+46,08-621 096 90,1990-09-06,True
Anne,Svensson,Kvarngatan 1,Uppsala,28437,Sverige,SE,19400117-5337,+46,+46 (0)8 000 450 81,1940-01-17,True
Roger,Hauge,Thorsentunet 17,Solveiggrunn,2346,Norge,NO,19490310-3914,+47,465 69 326,1949-03-10,True
Laura,Davidson,Trevor Skyway 676,West Sarahaven,75941,Danmark,DK,19950115-3410,+45,524.556.9079x383,1995-01-15,True
Tor,Næss,Aasenfaret 26B,Torenes,3719,Norge,NO,19601206-1549,+47,41 96 67 76,1960-12-06,True
Gunvor,Öhman,Idrottsgatan 435,Landskrona,15259,Sverige,SE,19791121-5396,+46,0440-92 75 12,1979-11-21,True
Rolf,Andresen,Johansenjordet 2,Tveit,3426,Norge,NO,19400311-5702,+47,45372186,1940-03-11,True
Kjell,Jansson,Nyvägen 589,Skövde,89568,Sverige,SE,19640527-7804,+46,+46 (0)8 820 081 41,1964-05-27,True
Charlotta,Svensson,Järnvägsgatan 7,Falun,87359,Sverige,SE,19940821-3858,+46,08-105 51 95,1994-08-21,True
Georg,Törnqvist,Skolgatan 849,Borlänge,36958,Sverige,SE,19770405-7654,+46,+46 (0)8 758 882 38,1977-04-05,True
Carl,Svensson,Stationsstigen 9,Halmstad,77372,Sverige,SE,19900212-6577,+46,+46 (0)8 355 817 84,1990-02-12,True
James,Cruz,Williams Canyon 509,South Jaclynburgh,23220,Danmark,DK,19461121-8115,+45,001-380-564-9764x18732,1946-11-21,True
Petra,Lind,Björkvägen 721,Lidingö,99309,Sverige,SE,19980611-3456,+46,08-945 00 70,1998-06-11,True
Tyler,Kaiser,Kent Park 1787,Adamston,86952,Danmark,DK,19870303-4528,+45,001-248-832-4148x6529,1987-03-03,True
Katherine,Henderson,Chad Prairie 59630,Georgeside,66264,Danmark,DK,19970514-3422,+45,+1-294-459-9703,1997-05-14,True
Birgitta,Fransson,Kvarngränd 738,Växjö,10249,Sverige,SE,19700924-8380,+46,08-902 68 81,1970-09-24,True
Jean,Perez,Hamilton Mountain 544,Thompsonfurt,15070,Danmark,DK,19530205-6324,+45,(772)800-1224x461,1953-02-05,True
James,Jimenez,Morgan Mills 9258,Lake Ryanton,49384,Danmark,DK,19650207-3462,+45,+1-499-931-4144x249,1965-02-07,True
Michael,Rasmussen,Cooper Harbors 6277,Haileybury,23044,Danmark,DK,19470327-3773,+45,(905)642-0050,1947-03-27,True
Janice,Lawrence,Buchanan Unions 405,New Wendy,44818,Danmark,DK,19641120-1445,+45,+1-864-910-8863,1964-11-20,True
Kendra,Cooper,Bond Estate 978,Port Misty,77124,Danmark,DK,19600623-9745,+45,(359)960-8402x07815,1960-06-23,True
Jorge,Wilson,Miranda Walk 4418,Butlerbury,81457,Danmark,DK,19890621-2309,+45,+1-418-533-3078x115,1989-06-21,True
Martine,Ahmed,Iversenplassen 8,Pedersen,3850,Norge,NO,19460708-1475,+47,+4717530514,1946-07-08,True
Denise,Martin,Sally Mountain 4062,East Annette,97739,Danmark,DK,19830803-9888,+45,+1-403-292-1687x928,1983-08-03,True
Arja,Toivanen,Nikonkuja 70,Marttila,59243,Finland,FI,19460517-728D,+358,+358 30 1747518,1946-05-17,True
Else,Ellingsen,Eidehøgda 3F,Bøe,1106,Norge,NO,19620409-9069,+47,982 71 793,1962-04-09,True
Pauli,Muhonen,Nils Westermarckin bulevardi 28,Nurmijärvi,12505,Finland,FI,19740327-0717,+358,+358 84 9223122,1974-03-27,True
Christian,Sanchez,Jessica Mountains 47194,Nancymouth,86952,Danmark,DK,19420913-5875,+45,+1-760-434-0130x45514,1942-09-13,True
Gertrud,Larsson,Parkvägen 2,Borlänge,91315,Sverige,SE,19530418-9922,+46,0045-819 28,1953-04-18,True
Arne,Kristensen,Svendsenskrenten 4,Magnussund,5053,Norge,NO,19420803-7844,+47,+47 01 99 48 20,1942-08-03,True
Lennart,Johansson,Storstigen 5,Karlstad,71967,Sverige,SE,19970930-5796,+46,050-88 94 32,1997-09-30,True
Caitlin,Martinez,Stephanie Ferry 8292,South Dylan,41462,Danmark,DK,20000424-5329,+45,001-938-564-3119x808,2000-04-24,True
Kristina,Roos,Idrottsvägen 458,Stockholm,48588,Sverige,SE,19620203-1206,+46,08-366 910 77,1962-02-03,True
Arvid,Andersson,Stationsstigen 14,Göteborg,57430,Sverige,SE,19980101-5144,+46,034-37 93 73,1998-01-01,True
Mette,Solheim,Myhrehavna 7D,Stineborg,5805,Norge,NO,19540329-3244,+47,52008491,1954-03-29,True
Ivan,Hallberg,Parkgatan 595,Södertälje,65950,Sverige,SE,19430801-7028,+46,018-18 54 65,1943-08-01,True
Louise,Andersson,Idrottsgatan 773,Lund,54578,Sverige,SE,20000315-8448,+46,0959-561 29,2000-03-15,True
Aaron,Chase,Annette Causeway 46369,Mollyport,61529,Danmark,DK,19581014-7280,+45,9548201989,1958-10-14,True
Britt,Fredriksson,Industritorget 493,Skellefteå,70041,Sverige,SE,19450824-3986,+46,096-377 95 44,1945-08-24,True
Therese,Karlsson,Kyrkvägen 74,Norrköping,93453,Sverige,SE,19540306-1822,+46,+46 (0)00 73 43 29,1954-03-06,True
Charlotte,Sjöberg,Skolstigen 71,Borlänge,40857,Sverige,SE,19840328-5813,+46,+46 (0)8 636 600 36,1984-03-28,True
Gunilla,Nilsson,Skolvägen 65,Karlskrona,35892,Sverige,SE,19670112-9892,+46,078-109 57 28,1967-01-12,True
Arne,Håkansson,Skolstigen 864,Södertälje,55933,Sverige,SE,19450113-5139,+46,08-066 856 95,1945-01-13,True
Birgitta,Dahlberg,Industristigen 6,Malmö,35168,Sverige,SE,19610801-3225,+46,08-703 051 60,1961-08-01,True
Olav,Sørensen,Sætherflata 4,Berntsen,7979,Norge,NO,19770726-0741,+47,90 92 89 84,1977-07-26,True
